1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
86	-0.411312	-0.825098	0.002474	0.125000	0.000115	0.000104	0.000043	0.0000000817	0.0010564335	0.0000279814	11954.9	69.4	12024.4	0.0000069046	0.0000674265	0.0000509384
87	-0.411319	-0.825106	0.002469	0.125000	0.000114	0.000104	0.000043	0.0000000817	0.0010535600	0.0000279916	11924.0	60.2	11984.4	0.0000069040	0.0000673137	0.0000509365
88	-0.411325	-0.825113	0.002463	0.125000	0.000113	0.000104	0.000043	0.0000000817	0.0010506621	0.0000279992	11849.9	32.8	11882.8	0.0000069033	0.0000671985	0.0000509295
89	-0.411331	-0.825120	0.002457	0.125000	0.000113	0.000104	0.000042	0.0000000816	0.0010477451	0.0000280060	11904.2	62.2	11966.5	0.0000069025	0.0000670819	0.0000509208
90	-0.411338	-0.825126	0.002451	0.125000	0.000112	0.000103	0.000042	0.0000000816	0.0010448269	0.0000280118	11919.0	64.3	11983.5	0.0000069016	0.0000669653	0.0000509094
91	-0.411344	-0.825134	0.002445	0.125000	0.000111	0.000103	0.000042	0.0000000816	0.0010418776	0.0000280144	11976.0	76.1	12052.2	0.0000069005	0.0000668460	0.0000508934
92	-0.411351	-0.825141	0.002440	0.125000	0.000110	0.000103	0.000041	0.0000000815	0.0010389118	0.0000280138	11857.0	64.2	11921.3	0.0000068994	0.0000667249	0.0000508717
93	-0.411357	-0.825147	0.002433	0.125000	0.000111	0.000103	0.000041	0.0000000815	0.0010359135	0.0000280089	11957.2	70.3	12027.6	0.0000068981	0.0000666005	0.0000508441
94	-0.411363	-0.825154	0.002427	0.125000	0.000110	0.000103	0.000041	0.0000000815	0.0010329478	0.0000280071	11897.6	30.4	11928.0	0.0000068969	0.0000664806	0.0000508217
95	-0.411369	-0.825160	0.002421	0.125000	0.000109	0.000103	0.000041	0.0000000814	0.0010299604	0.0000280023	11915.6	71.3	11987.0	0.0000068957	0.0000663579	0.0000507951
96	-0.411375	-0.825166	0.002415	0.125000	0.000108	0.000103	0.000041	0.0000000814	0.0010269665	0.0000279961	11987.6	63.2	12051.1	0.0000068943	0.0000662346	0.0000507653
97	-0.411381	-0.825172	0.002409	0.125000	0.000108	0.000103	0.000040	0.0000000814	0.0010239377	0.0000279855	11785.2	40.6	11825.9	0.0000068930	0.0000661068	0.0000507288
98	-0.411387	-0.825177	0.002403	0.125000	0.000108	0.000102	0.000040	0.0000000813	0.0010209290	0.0000279758	11937.9	59.3	11997.3	0.0000068916	0.0000659817	0.0000506931
99	-0.411393	-0.825184	0.002397	0.125000	0.000108	0.000102	0.000040	0.0000000813	0.0010179192	0.0000279656	11815.6	75.6	11891.3	0.0000068902	0.0000658567	0.0000506574
